legal_examples,transfer_accuracy,scratch_accuracy,scrambled_accuracy,transformer_accuracy
16,0.5358333333333334,0.47,0.495,0.5241666666666667
32,0.475,0.4583333333333333,0.49,0.38333333333333336
64,0.505,0.455,0.5491666666666667,0.4766666666666667
128,0.4275,0.43583333333333335,0.5133333333333333,0.6758333333333333
256,0.7575,0.7591666666666667,0.875,0.6733333333333333
