examples,transfer_role_exact,scratch_role_exact,scrambled_role_exact,topology_blind_role_exact,transformer_role_exact
8,0.44066666666666665,0.448,0.42533333333333334,0.244,0.5026666666666667
16,0.7273333333333334,0.458,0.6806666666666666,0.19866666666666666,0.6
32,0.758,0.6853333333333333,0.732,0.25,0.594
64,0.8613333333333333,0.8133333333333334,0.86,0.3546666666666667,0.8293333333333334
128,0.888,0.8093333333333333,0.886,0.36733333333333335,0.854
