reader_error,overall,accuracy_among_identified,identified_fraction,injected,flagged,detection_ratio,flagged_that_were_corrupt,attribution_precision
0.02,0.265625,0.9444444444444444,0.28125,50,624,12.48,32,0.05128205128205128
0.05,0.109375,0.875,0.125,120,743,6.191666666666666,75,0.1009421265141319
