examples,transfer,scratch,scrambled,transformer,majority
8,0.37833333333333335,0.29375,0.42333333333333334,0.2775,0.31125
16,0.57375,0.39791666666666664,0.3958333333333333,0.2975,0.31125
32,0.7175,0.6025,0.55875,0.39916666666666667,0.31125
64,0.8475,0.7704166666666666,0.67,0.5145833333333333,0.31125
128,0.84125,0.9133333333333333,0.63,0.6645833333333333,0.31125
